,Players,Ratings,Season
409,Shola Ameobi,70,2013
410,Steven Reid,70,2013
411,Giorgios Karagounis,70,2013
412,Guy Demel,70,2013
413,Calum Chambers,69,2013
414,John Stones,69,2013
415,Massadio Haidara,69,2013
416,Charis Mavrias,69,2013
417,Brek Shea,69,2013
418,Adlene Guedioura,69,2013
419,Jonathan Parr,69,2013
420,Ryan Shotton,69,2013
421,Mark Bunn,69,2013
422,Stephen Henderson,69,2013
423,Ricardo Vaz Te,69,2013
424,Mark Hudson,69,2013
425,Kevin McNaughton,69,2013
426,Danny Gabbidon,69,2013
427,Nabil Bentaleb,68,2013
428,Sammy Ameobi,68,2013
429,Harry Kane,68,2013
430,Yacouba Sylla,68,2013
431,Mats Moller Dæhli,68,2013
432,Bryan Oviedo,68,2013
433,Dedryck Boyata,68,2013
434,Yaya Sanogo,68,2013
435,Craig Dawson,68,2013
436,Gary Gardner,68,2013
437,Aron Gunnarsson,68,2013
438,Dean Moxey,68,2013
439,Kagisho Dikgacoi,68,2013
440,George Boyd,68,2013
441,Gabriel Obertan,68,2013
442,Stephen Quinn,68,2013
443,Ben Turner,68,2013
444,Rob Elliot,68,2013
445,Matthew Taylor,68,2013
446,Steve Harper,68,2013
447,Nathan Ake,67,2013
448,Saido Berahino,67,2013
449,Ryo Miyaichi,67,2013
450,Nicklas Helenius,67,2013
451,Marc Muniesa,67,2013
452,Stuart O'Keefe,67,2013
453,Ondrej Celůstka,67,2013
454,David Meyler,67,2013
455,Alex Bruce,67,2013
456,Leroy Lita,67,2013
457,Tommy Smith,67,2013
458,Liam Rosenior,67,2013
459,Guly do Prado,67,2013
460,David Fox,67,2013
461,Patrick McCarthy,67,2013
462,Paul McShane,67,2013
463,Abdoulaye Faye,67,2013
464,Eldin Jakupovic,67,2013
465,Don Cowie,67,2013
466,Aleksandar Tonev,66,2013
467,Leandro Bacuna,66,2013
468,Joe Mason,66,2013
469,Ashley Richards,66,2013
470,Marcos Alonso,66,2013
471,Matthew Briggs,66,2013
472,Matthew Connolly,66,2013
473,Andrew Taylor,66,2013
474,Goran Popov,66,2013
475,Joe Lewis,66,2013
476,Neil Alexander,66,2013
477,Marcos Lopes,65,2013
478,Rory Donnelly,65,2013
479,Michael Keane,65,2013
480,Alex Pritchard,65,2013
481,Ryan Tunnicliffe,65,2013
482,Dan Burn,65,2013
483,Alex Nimely,65,2013
484,Joe Bennett,65,2013
485,Kyle Bartley,65,2013
486,Joe Dudgeon,65,2013
487,Ben Amos,65,2013
488,Chris David,64,2013
489,Ezekiel Fryers,64,2013
