,Season,Player,Age,Sellingteam,Buyingteam,Marketvalue,Fee
32,2013,Henrique,27,Palmeiras,SSC Napoli,2.25,3.6
33,2013,Charles Aranguiz,24,U. de Chile,Udinese Calcio,1.98,3.6
34,2013,Danilo D'Ambrosio,25,Torino,Inter,4.5,3.41
35,2013,Andres Rios,25,River Plate,America,1.98,3.33
36,2013,Liam Bridcutt,24,BrightonAlbion,Sunderland,3.15,3.29
37,2013,Ignacio Scocco,28,Internacional,Sunderland,5.4,3.29
38,2013,Wayne Hennessey,27,Wolves,CrystalPalace Palace,2.25,3.29
39,2013,Abderazak Hamdallah,23,Aalesund,GZ R&F,1.26,3.24
40,2013,Pablo Batalla,30,Bursaspor,BJ Sinobo Guoan,5.4,3.15
41,2013,Andreas Cornelius,20,CardiffCity,FC Copenhagen,5.4,3.15
42,2013,Sergio Canales,22,Valencia,Real Sociedad,4.5,3.15
43,2013,Izet Hajrovic,22,Grasshoppers,Galatasaray,3.6,3.15
44,2013,Joe Ledley,27,Celtic,CrystalPalace Palace,3.15,3.15
45,2013,Vinicius Araujo,20,Cruzeiro,Valencia,0.9,3.15
46,2013,Dalei Wang,24,SH Shenhua,SD Luneng,0.36,3.15
47,2013,Lucho Gonzalez,33,FC Porto,Al Rayyan,4.5,2.97
48,2013,Enner Valencia,24,CS Emelec,CF Pachuca,1.44,2.95
49,2013,Nicolas Blandi,24,Boca Juniors,San Lorenzo,2.52,2.88
50,2013,Zhipeng Jiang,24,SH Shenxin,GZ R&F,0.248,2.84
51,2013,Radja Nainggolan,25,Cagliari Calcio,AS Roma,15.3,2.7
52,2013,Mats Moller Daehli,18,Molde FK,CardiffCity,0.81,2.7
53,2013,Nicolas Castillo,20,CDUC,Club Brugge,0.135,2.7
54,2013,Milan Vilotic,27,Grasshoppers,BSC Young Boys,2.25,2.61
55,2013,Todor Nedelev,20,Botev Plovdiv,1.FSV Mainz 05,2.7,2.52
56,2013,Salih Dursun,22,Kayserispor,Galatasaray,1.98,2.48
57,2013,Dominik Furman,21,Legia Warszawa,Toulouse,1.58,2.39
58,2013,Rafael Marques,30,Botafogo,HN Jianye,0.9,2.3
59,2013,Boxuan Song,24,SH Shenhua,BJ Sinobo Guoan,0.225,2.3
60,2013,Ola Toivonen,27,PSV Eindhoven,Stade Rennais,5.85,2.25
61,2013,Sammir,26,Dinamo Zagreb,Getafe,3.6,2.25
62,2013,Taras Burlak,23,Loko Moscow,Rubin Kazan,2.7,2.25
63,2013,Magnus Wolff Eikrem,23,Heerenveen,CardiffCity,1.98,2.25
64,2013,Leandro,20,Gremio,Palmeiras,1.35,2.25
65,2013,Koray Gunter,19,Bor. Dortmund,Galatasaray,0.45,2.25
66,2013,Xiaolong Wang,27,BJ Sinobo Guoan,GZ R&F,0.27,2.18
67,2013,Stefan Johansen,23,Stromsgodset,Celtic,1.98,2.17
68,2013,Douglas Santos,19,Granada CF,Udinese Calcio,2.25,2.07
